algorithm,features_selected_count,features_discarded_count,total_features_engineered,encoded_features_selected,encoded_features_total,accuracy,precision_0,recall_0,f1_score_0,precision_1,recall_1,f1_score_1
Baseline,40,0,40,40,40,0.44041609300902557,0.8581623550401427,0.4423496953672836,0.5837821436698779,0.088414921,0.4252146407591505,0.14639079029247043
Chi-Squared,28,12,40,28,40,0.5918617102646474,0.8819941444372154,0.6233475112081849,0.7304505960800162,0.10416951469583048,0.34432896520560324,0.15994962216624686
Boruta,28,12,40,28,40,0.4212431798480445,0.882011117,0.4013104954592482,0.5516315082563008,0.10936297563061137,0.5779484862178039,0.18392292205924649
Mutual_Information,28,12,40,28,40,0.38509000050991793,0.8805416963649323,0.35504080928842396,0.5060418629418753,0.10916163861543347,0.6213285133303208,0.185697886
RFE_SVM,28,12,40,28,40,0.5009943399112743,0.8962932111620159,0.4947695137372112,0.6375824013036071,0.1216148695912861,0.5499322187076366,0.19918166939443535
SFS_Forward,28,12,40,28,40,0.5238896537657437,0.8964296252581883,0.5238533164731578,0.6612733538908036,0.1228293096145701,0.5241753276095797,0.1990220468388093
Spearman_Filter,16,24,40,16,40,0.3760644536229667,0.8528848783155591,0.35854695942062303,0.5048559404337973,0.092461576,0.5137821961138725,0.15671950379048932
MIDTR_Selector,28,12,40,28,40,0.4212431798480445,0.882011117,0.4013104954592482,0.5516315082563008,0.10936297563061137,0.5779484862178039,0.18392292205924649
SBS_Forward,28,12,40,28,40,0.40365101218703786,0.8599015524422567,0.39159673525692607,0.5381304055921962,0.094370294,0.49841843651152284,0.15869361916408892
MSFS_Selector,30,10,40,30,40,0.6202641374738667,0.909135762,0.6354753419933326,0.748063196,0.1487248322147651,0.5006778129236331,0.2293283659319052
RFECV_SVM,33,7,40,33,40,0.3807047065422467,0.8525030197288954,0.365099437,0.5112479375427582,0.091611842,0.5033890646181653,0.15501287135601474
L1_Lasso_SVM,28,12,40,28,40,0.4065575442353781,0.8594608087868197,0.39579261984136105,0.541991342,0.093714975,0.491188432,0.15739936287286418
RandomForest_Importances,15,25,40,15,40,0.4124725919127021,0.8589054483264109,0.4041269111392114,0.5496404002501564,0.092603939,0.4780840488025305,0.15515471476756124
Permutation_Importance_RF,28,12,40,28,40,0.5977767579419714,0.9064797401265173,0.6094953442924474,0.7288974429474842,0.14141286490585114,0.5056484410302756,0.22101520837448152
XGBoost_Importance,20,20,40,20,40,0.4118096986385192,0.8571950773729743,0.40435682262329004,0.549502050380785,0.09128376008418099,0.4704021690013556,0.15289711390174046
